time,temperature,humidity,windspeed,city,THI,date
2024-06-13T16:00,24.5,93,7.6,温州,24.115000000000002,2024-06-13
2024-06-13T17:00,24.4,92,6.2,温州,23.964399999999998,2024-06-13
2024-06-13T18:00,24.0,94,5.1,温州,23.6865,2024-06-13
2024-06-13T19:00,23.1,98,4.0,温州,23.0054,2024-06-13
2024-06-13T20:00,22.9,96,4.2,温州,22.7152,2024-06-13
2024-06-13T21:00,23.5,97,6.6,温州,23.3515,2024-06-13
2024-06-13T22:00,23.0,98,3.2,温州,22.9065,2024-06-13
2024-06-13T23:00,22.6,98,2.5,温州,22.510900000000003,2024-06-13
2024-06-14T00:00,22.4,99,2.4,温州,22.35655,2024-06-14
2024-06-14T01:00,22.0,99,3.9,温州,21.95875,2024-06-14
2024-06-14T02:00,21.6,100,2.8,温州,21.6,2024-06-14
2024-06-14T03:00,21.6,100,1.4,温州,21.6,2024-06-14
2024-06-14T04:00,21.8,100,2.2,温州,21.8,2024-06-14
2024-06-14T05:00,21.7,100,2.3,温州,21.7,2024-06-14
2024-06-14T06:00,22.2,98,3.1,温州,22.115299999999998,2024-06-14
2024-06-14T07:00,23.3,97,2.5,温州,23.1548,2024-06-14
2024-06-14T08:00,23.9,94,2.2,温州,23.589799999999997,2024-06-14
2024-06-14T09:00,24.5,90,3.2,温州,23.95,2024-06-14
2024-06-14T10:00,25.5,84,2.2,温州,24.532,2024-06-14
2024-06-14T11:00,26.9,80,4.5,温州,25.535999999999998,2024-06-14
2024-06-14T12:00,27.3,79,5.8,温州,25.8216,2024-06-14
2024-06-14T13:00,28.7,78,5.8,温州,26.9818,2024-06-14
2024-06-14T14:00,28.5,79,10.2,温州,26.883,2024-06-14
2024-06-14T15:00,28.6,79,9.3,温州,26.97145,2024-06-14
2024-06-14T16:00,28.2,80,8.4,温州,26.692999999999998,2024-06-14
2024-06-14T17:00,26.4,90,7.7,温州,25.7455,2024-06-14
2024-06-14T18:00,25.5,97,5.0,温州,25.3185,2024-06-14
2024-06-14T19:00,24.8,98,3.2,温州,24.686700000000002,2024-06-14
2024-06-14T20:00,24.2,99,3.2,温州,24.146649999999998,2024-06-14
2024-06-14T21:00,24.1,98,2.9,温州,23.994400000000002,2024-06-14
2024-06-14T22:00,24.0,99,2.4,温州,23.94775,2024-06-14
2024-06-14T23:00,23.5,99,3.0,温州,23.4505,2024-06-14
2024-06-15T00:00,23.4,100,2.3,温州,23.4,2024-06-15
2024-06-15T01:00,23.4,100,2.3,温州,23.4,2024-06-15
2024-06-15T02:00,23.5,100,1.0,温州,23.5,2024-06-15
2024-06-15T03:00,23.5,99,1.3,温州,23.4505,2024-06-15
2024-06-15T04:00,23.2,100,3.3,温州,23.2,2024-06-15
2024-06-15T05:00,22.8,100,3.4,温州,22.8,2024-06-15
2024-06-15T06:00,23.5,99,2.4,温州,23.4505,2024-06-15
2024-06-15T07:00,24.6,96,2.2,温州,24.3778,2024-06-15
2024-06-15T08:00,26.0,90,1.8,温州,25.3675,2024-06-15
2024-06-15T09:00,24.6,96,1.0,温州,24.3778,2024-06-15
2024-06-15T10:00,26.0,88,4.9,温州,25.241,2024-06-15
2024-06-15T11:00,27.4,83,4.1,温州,26.193849999999998,2024-06-15
2024-06-15T12:00,28.4,79,2.3,温州,26.794549999999997,2024-06-15
2024-06-15T13:00,28.9,76,4.6,温州,26.9992,2024-06-15
2024-06-15T14:00,28.6,78,9.7,温州,26.893900000000002,2024-06-15
2024-06-15T15:00,27.5,85,11.1,温州,26.4275,2024-06-15
2024-06-15T16:00,26.6,92,7.8,温州,26.067600000000002,2024-06-15
